asOfDate,price,currencyCode,__typename
2022-11-15,5.0,EUR,FundPrice
2022-11-16,5.0171,EUR,FundPrice
2022-11-17,5.0118,EUR,FundPrice
2022-11-18,5.0222,EUR,FundPrice
2022-11-19,5.0222,EUR,FundPrice
2022-11-20,5.0222,EUR,FundPrice
2022-11-21,5.0292,EUR,FundPrice
2022-11-22,5.0352,EUR,FundPrice
2022-11-23,5.0464,EUR,FundPrice
2022-11-24,5.0697,EUR,FundPrice
2022-11-25,5.0482,EUR,FundPrice
2022-11-26,5.0482,EUR,FundPrice
2022-11-27,5.0482,EUR,FundPrice
2022-11-28,5.0503,EUR,FundPrice
2022-11-29,5.0707,EUR,FundPrice
2022-11-30,5.0637,EUR,FundPrice
2022-12-01,5.1057,EUR,FundPrice
2022-12-02,5.0982,EUR,FundPrice
2022-12-03,5.0982,EUR,FundPrice
2022-12-04,5.0982,EUR,FundPrice
2022-12-05,5.1048,EUR,FundPrice
2022-12-06,5.1228,EUR,FundPrice
2022-12-07,5.1278,EUR,FundPrice
2022-12-08,5.1218,EUR,FundPrice
2022-12-09,5.0958,EUR,FundPrice
2022-12-10,5.0958,EUR,FundPrice
2022-12-11,5.0958,EUR,FundPrice
2022-12-12,5.0931,EUR,FundPrice
2022-12-13,5.1085,EUR,FundPrice
2022-12-14,5.1086,EUR,FundPrice
2022-12-15,5.055,EUR,FundPrice
2022-12-16,5.0303,EUR,FundPrice
2022-12-17,5.0303,EUR,FundPrice
2022-12-18,5.0303,EUR,FundPrice
2022-12-19,5.0289,EUR,FundPrice
2022-12-20,5.0076,EUR,FundPrice
2022-12-21,5.0068,EUR,FundPrice
2022-12-22,4.9994,EUR,FundPrice
2022-12-23,4.9888,EUR,FundPrice
2022-12-24,4.9888,EUR,FundPrice
2022-12-25,4.9888,EUR,FundPrice
2022-12-26,4.9888,EUR,FundPrice
2022-12-27,4.9685,EUR,FundPrice
2022-12-28,4.9721,EUR,FundPrice
2022-12-29,4.981,EUR,FundPrice
2022-12-30,4.9647,EUR,FundPrice
2022-12-31,4.9647,EUR,FundPrice
2023-01-01,4.9647,EUR,FundPrice
